"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c","wmx_module__c"
"a1D4v000006uTjEEAU","","9A63A05A_F02F_4034_8DA7_020546243977","00D6g0000052B2qEAE","2021-02-11T04:33:57.000Z","0056g000003hlHUAAY","2021-02-11T04:33:57.000Z","0056g000003hlHUAAY","","TM Maintenance","true","TM_Maintenance_Allow_Duplicate_OTM","false","This system property gives admins the option to include deposits/contacts already associated with a Treasury Service. By default, the system property value is set to false and deposits/contacts already associated with a Treasury Service will be excluded.",""
"a1D4v000007eOb6EAE","","573C86B7_3CB1_42C4_AA65_FF47FF978623","00D6g0000052B2qEAE","2021-08-04T23:14:02.000Z","0056g000003hlHVAAY","2021-08-04T23:14:02.000Z","0056g000003hlHVAAY","","underwriting","true","Separate_Annuals","false","When active and true, this system property allows analysts to group two different Spreads periods (annual and interim periods) in the output of print, export, or import analysis. By default, the system sets Is Active to true and the value to false.",""
"a1D4v000007eOb7EAE","","74E0FB55_332C_4033_885F_CA0E614DFA66","00D6g0000052B2qEAE","2021-08-04T23:14:02.000Z","0056g000003hlHVAAY","2021-08-04T23:14:02.000Z","0056g000003hlHVAAY","","underwriting","true","Scale_Math_In_Cell","false","This system property enables the ability to scale math (addition and subtraction) in cell. On installation, the system sets Is Active to true and the value to false.",""
"a1D4v000007eOb8EAE","","0E1A109F_012F_4C57_8E3A_EEF0DD7143D8","00D6g0000052B2qEAE","2021-08-04T23:14:02.000Z","0056g000003hlHVAAY","2021-08-04T23:14:02.000Z","0056g000003hlHVAAY","","Spreads_Debt_Schedule","true","DebtScheduleEntityInvolvementInclusion",",","This system property determines which entity involvements types on loans to include within the Debt Schedule in Spreads. By default, the system sets Is Active to true and the value to a single comma (,).",""
"a1D4v000007ixbYEAQ","","CLEANER.Underwriting Cleaner","00D6g0000052B2qEAE","2021-08-26T17:21:31.000Z","0054v00000E7XrOAAV","2021-08-26T17:21:31.000Z","0054v00000E7XrOAAV","","CLEANER","true","CLEANER.Underwriting Cleaner","08e4v00001J3w9q","",""
"a1D4v000007ixbZEAQ","","CLEANER.Lien Batch Updater","00D6g0000052B2qEAE","2021-08-26T17:21:31.000Z","0054v00000E7XrOAAV","2021-08-26T17:21:31.000Z","0054v00000E7XrOAAV","","CLEANER","true","CLEANER.Lien Batch Updater","08e4v00001J3w9r","",""
"a1D6g000001DSmHEAW","","42797660592160121","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","ncred_webpack_resource","nCRED__vf_includes","",""
"a1D6g000001DSmIEAW","","42892025178781697","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Income Statement.hide","false","",""
"a1D6g000001DSmJEAW","","42388590213150700","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Income Statement.render","false","",""
"a1D6g000001DSmKEAW","","42980559692389223","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Income Statement.order","7","",""
"a1D6g000001DSmLEAW","","42923667201855594","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Balance Sheet.hide","false","",""
