"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2z6g0000005pWtAAI","0056g000003hlBjAAI","","O-000045","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sofAAA","","","false"
"a2z6g0000005pWuAAI","0056g000003hlBjAAI","","O-000037","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001socAAA","","","false"
"a2z6g0000005pWvAAI","0056g000003hlBjAAI","","O-000091","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, this record will be marked HMDA Reportable","1.0","a306g0000001soiAAA","","","false"
"a2z6g0000005pWwAAI","0056g000003hlBjAAI","","O-000093","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, this record will be marked as an Employee Loan","1.0","a306g0000001sojAAA","","","false"
"a2z6g0000005pWxAAI","0056g000003hlBjAAI","","O-000089","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sokAAA","","","false"
"a2z6g0000005pWyAAI","0056g000003hlBjAAI","","O-000050","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001solAAA","","","false"
"a2z6g0000005pWzAAI","0056g000003hlBjAAI","","O-000095","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, this record will be marked Reg W Reportable","1.0","a306g0000001somAAA","","","false"
"a2z6g0000005pX0AAI","0056g000003hlBjAAI","","O-000077","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sonAAA","","","false"
"a2z6g0000005pX1AAI","0056g000003hlBjAAI","","O-000079","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sooAAA","","","false"
"a2z6g0000005pX2AAI","0056g000003hlBjAAI","","O-000080","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sopAAA","","","false"
"a2z6g0000005pX3AAI","0056g000003hlBjAAI","","O-000082","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001soqAAA","","","false"
"a2z6g0000005pX4AAI","0056g000003hlBjAAI","","O-000084","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sorAAA","","","false"
"a2z6g0000005pX5AAI","0056g000003hlBjAAI","","O-000097","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, the record will be marked CRA Reportable.","1.0","a306g0000001sosAAA","","","false"
"a2z6g0000005pX6AAI","0056g000003hlBjAAI","","O-000065","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","None of the above","4.0","a306g0000001sotAAA","","","false"
"a2z6g0000005pX7AAI","0056g000003hlBjAAI","","O-000067","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001souAAA","","","false"
"a2z6g0000005pX8AAI","0056g000003hlBjAAI","","O-000069","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sovAAA","","","false"
"a2z6g0000005pX9AAI","0056g000003hlBjAAI","","O-000073","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sowAAA","","","false"
"a2z6g0000005pXAAAY","0056g000003hlBjAAI","","O-000071","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001soxAAA","","","false"
"a2z6g0000005pXBAAY","0056g000003hlBjAAI","","O-000074","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes, the loan is HVCRE reportable.","1.0","a306g0000001soyAAA","","","false"
"a2z6g0000005pXCAAY","0056g000003hlBjAAI","","O-000088","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, the loan will be marked Reg O Reportable.","1.0","a306g0000001sokAAA","","","false"
"a2z6g0000005pXDAAY","0056g000003hlBjAAI","","O-000218","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sp8AAA","","","false"
"a2z6g0000005pXEAAY","0056g000003hlBjAAI","","O-000090","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes, this loan IS NOT HMDA Reportable","1.0","a306g0000001sp9AAA","","","false"
"a2z6g0000005pXFAAY","0056g000003hlBjAAI","","O-000094","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sojAAA","","","false"
