"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nPortal__Is_Portal_Enabled__c","nFORCE__Orchestration_Step__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","nPortal__OA_Credit_Pull_Required__c","wmx_module__c","nFORCE__Primary_Button_Text__c"
"a2D6g0000000mmWEAQ","0056g000003hlBjAAI","","0260","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","2000.0","","a2E6g0000001aYREAY","a2D6g0000000mmWEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmXEAQ","0056g000003hlBjAAI","","0261","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","2000.0","","a2E6g0000001aYREAY","a2D6g0000000mmXEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmYEAQ","0056g000003hlBjAAI","","0262","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRoEAI","false","0.0","a2E6g0000001aYkEAI","a2E6g0000001aYkEAI","a2D6g0000000mmYEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmZEAQ","0056g000003hlBjAAI","","0263","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRnEAI","false","0.0","a2E6g0000001aYkEAI","a2E6g0000001aYkEAI","a2D6g0000000mmZEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmaEAA","0056g000003hlBjAAI","","0264","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRoEAI","false","2.0","","a2E6g0000001aYkEAI","a2D6g0000000mmaEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmbEAA","0056g000003hlBjAAI","","0265","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRnEAI","false","2.0","","a2E6g0000001aYkEAI","a2D6g0000000mmbEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmcEAA","0056g000003hlBjAAI","","0266","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRoEAI","false","3.0","a2E6g0000001aYqEAI","a2E6g0000001aYlEAI","a2D6g0000000mmcEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmdEAA","0056g000003hlBjAAI","","0267","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRnEAI","false","3.0","a2E6g0000001aYrEAI","a2E6g0000001aYlEAI","a2D6g0000000mmdEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mmeEAA","0056g000003hlBjAAI","","0268","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","4030.0","a2E6g0000001aYLEAY","a2E6g0000001aYSEAY","a2D6g0000000mmeEAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mmfEAA","0056g000003hlBjAAI","","0269","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","4020.0","a2E6g0000001aYLEAY","a2E6g0000001aYSEAY","a2D6g0000000mmfEAA","false","","false","false","false","false","false","","","","","","false","",""
