"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","wmx_module__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2G6g000000kCsIEAU","0056g000003hlBjAAI","","Total Exposure","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42159428573333161","","","","",""
"a2G6g000000kCsJEAU","0056g000003hlBjAAI","","Loan Details","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42477760115293706","","","","",""
"a2G6g000000kCsKEAU","0056g000003hlBjAAI","","Pricing","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42603748046132357","","","","",""
"a2G6g000000kCsLEAU","0056g000003hlBjAAI","","Rate Structure","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42306104470834702","","","","",""
"a2G6g000000kCsMEAU","0056g000003hlBjAAI","","Payment Structure","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42845770103705580","","","","",""
"a2G6g000000kCsNEAU","0056g000003hlBjAAI","","Referral","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42410404119994869","","","","",""
"a2G6g000000kCsOEAU","0056g000003hlBjAAI","","Balance Details","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42506447999100246","","","","",""
"a2G6g000000kCsPEAU","0056g000003hlBjAAI","","Booked Details","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42226870141912786","","","","",""
"a2G6g000000kCsQEAU","0056g000003hlBjAAI","","Borrowing Structure Information","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42342881603800273","","","","",""
"a2G6g000000kCsREAU","0056g000003hlBjAAI","","CRA Screen","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","false","true","42768158053098535","","","","",""
