"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category_Name__c","nFORCE__Is_Active__c","nFORCE__Key__c","nFORCE__Value__c","nFORCE__Description__c","nFUSE__Is_Encrypted__c","nFUSE__Value_Data_Type__c","nFORCE__Institution_ID__c","wmx_module__c"
"a1T4v000006sOvJEAU","","2F652253_250B_4167_BB67_1374385A506D","00D6g0000052B2qEAE","2021-08-30T15:24:51.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.sendnationality","false","","false","","",""
"a1T4v000006sOvKEAU","","587A710D_3571_447E_A44A_76373E66785D","00D6g0000052B2qEAE","2021-08-30T15:24:52.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.sendgender","false","","false","","",""
"a1T4v000006sOvLEAU","","632D6827_5026_4D21_A737_08454E631D3B","00D6g0000052B2qEAE","2021-08-30T15:24:52.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.matchstatuses","Blocked Account,Should Have Been Blocked,Transaction Rejected","","false","","",""
"a1T4v000006sOvMEAU","","783C2D33_103E_407D_A159_13155B75322A","00D6g0000052B2qEAE","2021-08-30T15:24:52.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.matchoverridestatuses","Transaction Approved","","false","","",""
"a1T4v000006sOvNEAU","","3E602317_1F09_4D0F_930A_2D2F14670740","00D6g0000052B2qEAE","2021-08-30T15:24:52.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.nomatchstatuses","False Positive","","false","","",""
"a1T4v000006sOvOEAU","","44002F36_126E_4B0E_9F13_293C0B7A145A","00D6g0000052B2qEAE","2021-08-30T15:24:52.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.orderrelationships","false","","false","","",""
"a1T4v000006sOvPEAU","","2C140252_226D_4567_835A_34442132471A","00D6g0000052B2qEAE","2021-08-30T15:24:52.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","bridger.recordafp","true","","false","","",""
"a1T4v000006sOvQEAU","","04440B5E_0B1E_4F08_8C26_22586A4B1C42","00D6g0000052B2qEAE","2021-08-30T15:24:53.000Z","0054v00000E7ZpPAAV","2021-09-01T17:55:16.000Z","0056g000003hlHeAAI","","Bridger Authentication","true","Automated_Loan_Screen_Stages","","","false","","",""
"a1T4v000006sOvkEAE","","CBC_ENDPOINT_URL","00D6g0000052B2qEAE","2021-08-30T15:53:48.000Z","0054v00000E7ZpeAAF","2021-09-01T17:55:18.000Z","0056g000003hlHeAAI","","CBC_FLOOD_DETERMINATION","true","CBC_ENDPOINT_URL","https://www.creditbureaureports.com/servlet/gnbank?logid=customerlogin&command=apiordretpost&options=ORD%3DLC+PA%3DXM+TEXT%3DN+PS%3DA+REVL%3DY+REVF%3DX4+CONFIRMLETTER%3DY+MOPT=-opt+newxmlerr","","false","","",""
"a1T4v000006sOvlEAE","","flood.secret-store-upgraded","00D6g0000052B2qEAE","2021-08-30T15:53:49.000Z","0054v00000E7ZpeAAF","2021-08-30T15:53:49.000Z","0054v00000E7ZpeAAF","","CBC_FLOOD_DETERMINATION","true","flood.secret-store-upgraded","upgraded","","false","","",""
"a1T4v000006sPVxEAM","","2F246257_2151_4247_B84D_6574195E4F40","00D6g0000052B2qEAE","2021-08-30T17:51:33.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:33.000Z","0054v00000EIZAcAAP","","Amortization_Structures","true","Amortization_Calc_Engine","SCALC.AmortizationCalculationXPkg","Contains the name of the amortization calculation engine integration. On installation, the system sets Is Active to true. Set Is Active to false to disable amortization calculations.","false","","",""
"a1T4v000006sPcFEAU","","E7931C9D_FD71_41B3_BFED_47309C77C393","00D6g0000052B2qEAE","2021-08-30T18:00:53.000Z","0054v00000EIZAcAAP","2021-08-30T18:00:53.000Z","0054v00000EIZAcAAP","","Form Generation","true","PDF_Retry_Attempts","10","This system property determines the number of times the system will attempt to generate a PDF during manual form generation. By default, it is active and the value is 10.","false","","",""
"a1T4v000006sPcGEAU","","88597F6A_2084_4DD4_9EC9_4668639BD6A1","00D6g0000052B2qEAE","2021-08-30T18:00:53.000Z","0054v00000EIZAcAAP","2021-08-30T18:00:53.000Z","0054v00000EIZAcAAP","","Form Generation","true","PDF_Wait_Period","4","This system property determines the number of seconds the system waits between retry attempts to generate a PDF during manual form generation. By default, it is active and the value is 4.","false","","",""
"a1T4v000006sPcHEAU","","3C1875AA_15F3_4976_A5C0_5212280BC3E2","00D6g0000052B2qEAE","2021-08-30T18:00:53.000Z","0054v00000EIZAcAAP","2021-08-30T18:00:53.000Z","0054v00000EIZAcAAP","","Form Generation","true","PDF_Process_Retry_Attempts","3","This system property determines the number of times the system will retry the entire process to generate a PDF during manual form generation. By default, it is active and the value is 3.","false","","",""
"a1T4v000006sel4EAA","","175C0632_5525_412A_BF1C_546817635A29","00D6g0000052B2qEAE","2021-09-01T15:57:17.000Z","0056g000003hlHeAAI","2021-09-01T15:57:17.000Z","0056g000003hlHeAAI","","SESOC_ESignatureConfiguration","true","E-Signature Summary DocType","E-Signature Summary","","false","STRING","",""
"a1T4v000006sel5EAA","","2A5A1C1E_6702_4F16_9C4F_004E4C405F17","00D6g0000052B2qEAE","2021-09-01T15:57:19.000Z","0056g000003hlHeAAI","2021-09-01T15:57:19.000Z","0056g000003hlHeAAI","","document manager","true","Ad Hoc E-Signature Vendor","SESOC_ESignature","","false","","",""
"a1T4v000006sel6EAA","","6A732B1C_2F73_4A46_A32B_007934760803","00D6g0000052B2qEAE","2021-09-01T15:57:19.000Z","0056g000003hlHeAAI","2021-09-01T15:57:19.000Z","0056g000003hlHeAAI","","document manager","true","Ad Hoc E-Signature Vendor Version","1.0","","false","","",""
"a1T4v000006senCEAQ","","58126C23_4D14_4706_9068_2C3763055174","00D6g0000052B2qEAE","2021-09-01T17:38:52.000Z","0056g000003hlHeAAI","2021-09-01T17:38:52.000Z","0056g000003hlHeAAI","","DOCU_ESignatureConfiguration","true","Base Url","","","false","STRING","",""
"a1T4v000006senDEAQ","","6B75267B_6E29_4875_AE03_1F6C5F3F1832","00D6g0000052B2qEAE","2021-09-01T17:38:52.000Z","0056g000003hlHeAAI","2021-09-01T17:38:52.000Z","0056g000003hlHeAAI","","DOCU_ESignatureConfiguration","true","Account Id","","","false","STRING","",""
"a1T4v000006senEEAQ","","19195958_052E_457F_B940_1254673E376F","00D6g0000052B2qEAE","2021-09-01T17:38:52.000Z","0056g000003hlHeAAI","2021-09-01T17:38:52.000Z","0056g000003hlHeAAI","","DOCU_ESignatureConfiguration","true","Download Summary Document","false","","false","STRING","",""
"a1T4v000006senFEAQ","","446D6231_2830_4067_8C7B_5C037918496C","00D6g0000052B2qEAE","2021-09-01T17:38:52.000Z","0056g000003hlHeAAI","2021-09-01T17:38:52.000Z","0056g000003hlHeAAI","","DOCU_ESignatureConfiguration","true","Process DocuSign Connector Notifications","false","","false","STRING","",""
